Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,BatV,BatA,BmAH,CELS,Cel1,Cel2,TeeV,AmbT,CanT,EngT,AccX,AccY,AccZ,AccTmp,GyrX,GyrY,GyrZ,VibS
15/08/2020,03:12.1,ERR,ErrD,0,0,0,63,100,0,8,429,0,0,16003,180,0,0,0,0.8,19.75,6.51,1.06,2.89,6.49,3.23,3.26,5.32,63.73,18.37,19.62,0,0,0,0,0,0,0,
15/08/2020,03:12.1,ERR,ErrD,0,0,0,75,100,35,8,429,0,0,10328,507,0,0,0,0.8,19.76,6.52,1.06,2.89,6.49,3.23,3.26,5.32,69.03,18.29,19.59,53650,28322,20236,37,312,65371,0,
15/08/2020,03:12.1,ERR,ErrD,0,0,0,88,100,0,8,429,0,0,15517,680,0,0,0,0.8,19.63,6.53,1.06,2.89,6.49,3.23,3.26,5.32,69.75,18.33,19.5,23326,34607,20192,37,29630,65343,0,
15/08/2020,03:12.1,ERR,ErrD,0,0,0,102,100,0,8,157,0,5117,10328,844,0,0,0,0.76,19.66,6.51,1.19,3.07,6.49,3.23,3.26,5.32,78.08,18.32,19.47,6131,20922,20330,37,10464,65072,0,
15/08/2020,03:12.1,ERR,ErrD,0,0,0,115,100,93,8,156,0,8607,13802,999,0,0,0,0.76,19.66,6.52,1.19,3.07,6.51,3.25,3.26,5.32,69.56,18.37,19.53,17247,52172,20069,37,16863,53894,1,
15/08/2020,03:13.1,ERR,ErrD,0,0,0,129,100,0,8,156,0,5208,10335,1163,0,0,0,0.76,19.7,6.51,1.19,3.07,6.51,3.25,3.26,5.32,71.22,18.31,19.47,22544,19715,20269,37,21892,65067,1,
15/08/2020,03:13.1,ERR,ErrD,0,0,0,143,100,0,8,156,0,8609,20486,1335,0,0,0,0.76,19.66,6.51,1.06,3.21,6.51,3.25,3.26,5.31,70,18.33,19.37,21906,20874,20222,37,6569,42210,0,
15/08/2020,03:13.1,ERR,ErrD,0,0,0,155,100,95,8,156,0,8604,23956,1498,0,0,0,0.76,19.79,6.52,1.06,3.21,6.51,3.25,3.26,5.31,69.26,18.3,19.48,19474,1068,20354,37,299,57689,0,
15/08/2020,03:13.1,ERR,ErrD,0,0,0,168,100,0,8,95,0,10000,20991,1662,0,0,0,0.76,19.71,6.51,1.09,3.38,6.51,3.25,3.26,5.32,68.33,18.41,19.47,29658,50969,20201,37,21935,65081,1,
15/08/2020,03:13.1,ERR,ErrD,0,0,0,180,100,29,8,95,0,8643,18782,1794,0,0,0,0.76,19.7,6.49,1.09,3.38,6.5,3.24,3.26,5.32,70.15,18.22,19.43,971,24615,20189,37,177,53744,0,
15/08/2020,03:14.1,ERR,ErrD,0,0,0,192,100,0,8,95,0,8348,10000,1688,0,0,0,0.76,19.78,6.51,1.09,3.38,6.5,3.24,3.26,5.32,72.24,18.34,19.53,9195,14983,20316,37,11691,52436,0,
15/08/2020,03:14.1,ERR,ErrD,0,0,0,205,100,78,8,95,0,8546,10000,1515,0,0,0,0.77,19.82,6.52,1.21,3.55,6.5,3.24,3.26,5.32,68.09,18.35,19.43,8410,15833,20214,37,33441,65142,0,
15/08/2020,03:14.1,ERR,ErrD,0,0,0,219,100,33,8,95,0,8608,22047,1351,0,0,0,0.77,19.71,6.51,1.21,3.55,6.5,3.24,3.26,5.32,68.61,18.42,19.34,28274,816,20256,37,319,61600,0,
15/08/2020,03:14.1,ERR,ErrD,0,0,0,234,100,78,8,95,0,8623,10000,1171,0,0,0,0.76,19.7,6.5,1.07,3.72,6.5,3.24,3.26,5.32,67.5,18.27,19.37,14423,34780,20236,37,21912,65116,1,
15/08/2020,03:14.1,ERR,ErrD,0,0,0,248,100,100,8,30,0,10000,20348,992,0,0,0,0.76,19.66,6.51,1.07,3.72,6.5,3.24,3.26,5.32,69.06,18.29,19.5,18674,44844,20182,37,219,23092,1,
15/08/2020,03:15.1,ERR,ErrD,0,0,0,262,100,100,8,30,0,6909,10000,819,0,0,0,0.76,19.75,6.51,1.07,3.72,6.5,3.24,3.26,5.32,74.18,18.29,19.4,6597,3743,20319,37,6581,58836,1,
15/08/2020,03:15.1,ERR,ErrD,0,0,0,276,100,0,8,27,0,6909,18649,647,0,0,0,0.76,19.61,6.52,1.18,3.89,6.5,3.24,3.26,5.32,70.44,18.49,19.43,4429,10662,20222,37,30860,65172,0,
15/08/2020,03:15.1,ERR,ErrD,0,0,0,290,100,72,8,101,0,6909,10000,484,0,0,0,0.76,19.66,6.49,1.18,3.89,6.5,3.24,3.26,5.32,70.41,18.42,19.43,18028,10688,20245,37,280,65428,0,
15/08/2020,03:15.1,ERR,ErrD,0,0,0,305,100,0,8,101,0,6904,23689,302,0,0,0,0.76,19.73,6.5,1.06,4.05,6.5,3.24,3.26,5.32,73.18,18.34,19.44,1785,25960,20155,37,7762,65152,1,
15/08/2020,03:16.2,ERR,ErrD,0,0,0,319,100,69,8,101,0,6904,10000,205,0,0,0,0.76,19.59,6.5,1.06,4.05,6.5,3.24,3.26,5.32,69.66,18.35,19.42,1062,23316,20297,37,168,65202,0,
15/08/2020,03:16.2,ERR,ErrD,0,0,0,333,100,69,8,101,0,5278,10000,369,0,0,0,0.76,19.67,6.52,1.06,4.05,6.5,3.24,3.26,5.31,70.92,18.23,19.6,25056,478,20197,37,198,65321,0,
15/08/2020,03:16.2,ERR,ErrD,0,0,0,347,100,100,8,101,0,5278,18636,549,0,0,0,0.76,19.71,6.51,1.25,4.22,6.5,3.24,3.26,5.32,73.4,18.4,19.51,799,38461,20221,37,149,65152,0,
15/08/2020,03:16.2,ERR,ErrD,0,0,0,362,100,69,8,101,0,8315,10000,722,0,0,0,0.76,19.66,6.52,1.25,4.22,6.5,3.24,3.26,5.32,72.89,18.32,19.42,1029,542,20219,37,147,65257,0,
15/08/2020,03:16.2,ERR,ErrD,0,0,0,376,100,69,8,101,0,7002,10000,893,0,0,0,0.77,19.6,6.5,1.08,4.39,6.5,3.24,3.26,5.31,70.33,18.41,19.42,22173,1741,20248,37,269,65402,0,
15/08/2020,03:17.2,ERR,ErrD,0,0,0,392,100,100,8,20,0,8609,20328,1065,0,0,0,0.77,19.64,6.51,1.08,4.39,6.5,3.24,3.26,5.32,72.36,18.24,19.4,969,39787,20170,37,198,65249,0,
15/08/2020,03:17.2,ERR,ErrD,0,0,0,406,100,0,8,19,0,8611,10000,1237,0,0,0,0.77,19.58,6.5,1.08,4.39,6.5,3.24,3.26,5.32,67.72,18.27,19.43,21989,2819,20239,37,163,65319,0,
15/08/2020,03:17.2,ERR,ErrD,0,0,0,421,100,0,8,19,0,5275,10000,1409,0,0,0,0.77,19.6,6.51,1.08,4.54,6.5,3.24,3.26,5.31,68.09,18.46,19.5,4434,6781,20206,37,132,65203,0,
15/08/2020,03:17.2,ERR,ErrD,0,0,0,435,100,0,8,19,0,8610,20343,1581,0,0,0,0.77,19.71,6.49,1.08,4.54,6.5,3.24,3.26,5.32,74.05,18.34,19.41,655,13135,20245,37,151,65271,0,
15/08/2020,03:17.2,ERR,ErrD,0,0,0,449,100,0,8,19,0,8609,10000,1762,0,0,0,0.78,19.72,6.5,1.23,4.73,6.5,3.24,3.26,5.32,71.54,18.27,19.4,683,542,20282,37,164,65241,0,
15/08/2020,03:18.2,ERR,ErrD,0,0,0,465,100,0,8,19,0,8312,22892,1696,0,0,0,0.78,19.72,6.49,1.23,4.73,6.5,3.24,3.26,5.31,73.61,18.41,19.37,775,485,20261,37,189,65275,0,
15/08/2020,03:18.2,ERR,ErrD,0,0,0,479,100,100,8,20,0,8312,23751,1524,0,0,0,0.78,19.68,6.51,1.23,4.73,6.5,3.24,3.26,5.31,73.51,18.22,19.39,524,451,20260,37,190,65295,0,
15/08/2020,03:18.2,ERR,ErrD,0,0,0,494,100,0,8,20,0,6934,22879,1344,0,0,0,0.77,19.64,6.5,1.05,4.87,6.5,3.24,3.26,5.32,75.32,18.32,19.43,639,352,20238,37,176,65273,0,
15/08/2020,03:18.2,ERR,ErrD,0,0,0,510,100,0,8,97,0,8609,22040,1179,0,0,0,0.77,19.64,6.52,1.05,4.87,6.5,3.24,3.26,5.32,64.63,18.25,19.41,477,394,20245,37,165,65276,0,
15/08/2020,03:18.2,ERR,ErrD,0,0,0,525,99,100,8,97,0,6904,10000,999,0,0,0,0.77,19.66,6.49,1.08,5.04,6.5,3.24,3.26,5.32,71.21,18.21,19.31,602,413,20257,37,153,65244,0,
15/08/2020,03:19.2,ERR,ErrD,0,0,0,540,99,0,8,97,0,5209,18619,828,0,0,0,0.77,19.64,6.5,1.08,5.04,6.5,3.24,3.26,5.32,70.2,18.22,19.37,580,390,20235,37,156,65268,0,
15/08/2020,03:19.2,ERR,ErrD,0,0,0,555,99,100,8,102,0,5209,10000,664,0,0,0,0.77,19.63,6.5,1.08,5.04,6.5,3.24,3.26,5.32,64.44,18.24,19.51,617,388,20235,37,163,65268,0,
15/08/2020,03:19.2,ERR,ErrD,0,0,0,569,99,0,8,102,0,5208,18620,491,0,0,0,0.78,19.64,6.49,1.2,5.21,6.5,3.24,3.26,5.32,71.35,18.3,19.47,540,419,20248,37,162,65257,0,
15/08/2020,03:19.2,ERR,ErrD,0,0,0,584,99,100,8,102,0,5208,10000,320,0,0,0,0.78,19.62,6.5,1.2,5.21,6.5,3.24,3.26,5.32,70.85,18.38,19.52,616,418,20244,37,163,65266,0,
15/08/2020,03:20.2,ERR,ErrD,0,0,0,598,99,100,8,102,0,5205,10000,188,0,0,0,0.77,19.7,6.51,1.08,5.37,6.5,3.24,3.26,5.31,65.6,18.41,19.36,574,403,20256,37,162,65256,0,
15/08/2020,03:20.2,ERR,ErrD,0,0,0,612,99,100,8,102,0,8326,10000,360,0,0,0,0.77,19.63,6.5,1.08,5.37,6.5,3.24,3.26,5.32,69.12,18.42,19.43,590,427,20242,37,167,65265,0,
15/08/2020,03:20.2,ERR,ErrD,0,0,0,626,100,46,8,102,0,8326,23949,540,0,0,0,0.77,19.67,6.49,1.08,5.37,6.5,3.23,3.27,5.32,70.06,18.41,19.46,590,414,20252,37,160,65251,0,
15/08/2020,03:20.2,ERR,ErrD,0,0,0,640,100,0,8,102,0,8326,18785,705,0,0,0,0.77,19.59,6.51,1.05,5.52,6.5,3.23,3.27,5.32,73.93,18.44,19.39,602,423,20247,37,169,65262,0,
15/08/2020,03:20.2,ERR,ErrD,0,0,0,654,100,100,8,102,0,8312,10000,876,0,0,0,0.77,19.72,6.48,1.05,5.52,6.5,3.23,3.27,5.32,76.59,18.25,19.36,565,417,20231,37,156,65266,0,
15/08/2020,03:21.2,ERR,ErrD,0,0,0,668,100,0,8,21,0,6910,10000,1056,0,0,0,0.78,19.7,6.49,1.05,5.68,6.5,3.23,3.27,5.32,69,18.45,19.54,498,454,20242,37,166,65268,0,
15/08/2020,03:21.2,ERR,ErrD,0,0,0,683,100,100,8,97,0,8606,21889,1228,0,0,0,0.78,19.68,6.5,1.05,5.68,6.5,3.23,3.27,5.31,66.32,18.31,19.37,605,401,20247,37,153,65254,0,
15/08/2020,03:21.2,ERR,ErrD,0,0,0,698,100,95,8,97,0,6917,22192,1393,0,0,0,0.78,19.68,6.5,1.05,5.68,6.5,3.23,3.27,5.32,70.6,18.22,19.42,586,407,20247,37,156,65260,0,
15/08/2020,03:21.2,ERR,ErrD,0,0,0,712,100,100,8,97,0,8609,10000,1573,0,0,0,0.78,19.73,6.48,1.22,5.85,6.5,3.23,3.27,5.32,70.43,18.38,19.42,609,408,20251,37,160,65253,0,
15/08/2020,03:21.2,ERR,ErrD,0,0,0,728,100,0,8,97,0,8609,20348,1736,0,0,0,0.78,19.61,6.51,1.22,5.85,6.5,3.24,3.26,5.32,72.83,18.29,19.5,557,396,20240,37,173,65258,0,
15/08/2020,03:22.2,ERR,ErrD,0,0,0,744,100,100,8,97,0,8605,10000,1704,0,0,0,0.78,19.63,6.51,1.06,6.01,6.5,3.24,3.26,5.31,67.3,18.24,19.39,581,397,20245,37,161,65270,0,
15/08/2020,03:22.2,ERR,ErrD,0,0,0,758,100,0,8,97,0,8605,21456,1531,0,0,0,0.78,19.63,6.49,1.06,6.01,6.5,3.24,3.26,5.31,72.99,18.39,19.37,537,352,20242,37,175,65265,0,
15/08/2020,03:22.2,ERR,ErrD,0,0,0,773,100,100,8,97,0,6627,10000,1367,0,0,0,0.78,19.63,6.5,1.06,6.01,6.5,3.24,3.26,5.31,69.61,18.4,19.37,2208,10776,20218,37,140,65170,0,
15/08/2020,03:22.2,ERR,ErrD,0,0,0,787,100,99,8,104,0,6627,10000,1187,0,0,0,0.78,19.72,6.48,1.07,6.16,6.49,3.23,3.25,5.32,195.84,18.49,19.29,2446,16025,20199,37,1442,23166,0,
15/08/2020,03:22.2,ERR,ErrD,0,0,0,803,100,99,8,104,0,8336,10000,1015,0,0,0,0.78,19.75,6.5,1.07,6.16,6.49,3.23,3.25,5.32,0,18.5,19.32,8354,5568,20404,37,20731,63923,0,
15/08/2020,03:23.2,ERR,ErrD,0,0,0,817,100,99,8,104,0,5279,10000,852,0,0,0,0.78,19.76,6.44,1.6,6.41,6.49,3.23,3.25,5.31,0,18.1,19.27,14429,15552,20231,37,274,63914,0,
15/08/2020,03:23.2,ERR,ErrD,0,0,0,832,100,0,8,104,0,8604,17766,672,0,0,0,0.78,19.75,6.5,1.6,6.41,6.49,3.23,3.25,5.32,0,18.25,19.17,5552,842,20136,37,4141,61380,0,
15/08/2020,03:23.2,ERR,ErrD,0,0,0,847,100,99,8,104,0,6996,10000,500,0,0,0,0.78,19.73,6.47,1.6,6.41,6.49,3.23,3.25,5.31,0,18.49,19.26,5788,12266,20500,37,7967,65197,1,
15/08/2020,03:23.2,ERR,ErrD,0,0,0,860,100,99,8,104,0,6996,10000,327,0,0,0,0.84,20,6.43,2.97,6.82,6.44,3.22,3.22,5.32,0,18.39,19.34,823,845,20363,37,5387,47470,1,
15/08/2020,03:24.2,ERR,ErrD,0,0,0,876,100,100,8,104,0,6905,20572,180,0,0,0,0.84,20.11,6.42,2.97,6.82,6.44,3.22,3.22,5.32,0,18.33,19.2,10573,823,20172,37,332,51049,0,
15/08/2020,03:24.2,ERR,ErrD,0,0,0,890,100,100,8,95,0,6905,10000,353,0,0,0,0.86,20.19,6.3,2.31,7.18,6.44,3.22,3.22,5.32,0,18.85,19.27,15061,5872,20201,37,16779,53590,0,
15/08/2020,03:24.2,ERR,ErrD,0,0,0,905,100,0,8,95,0,8607,16318,524,0,0,0,0.86,20.23,6.41,2.31,7.18,6.44,3.22,3.22,5.32,0,18.65,19.19,18144,5672,19413,37,10914,40245,0,
15/08/2020,03:24.2,ERR,ErrD,0,0,0,920,100,96,8,95,0,8317,10000,696,0,0,0,0.86,20.03,6.43,2.31,7.18,6.44,3.22,3.22,5.32,0,18.22,19.22,1168,57071,19792,37,37063,29542,1,
15/08/2020,03:24.2,ERR,ErrD,0,0,0,934,100,54,8,95,0,5279,21907,869,0,0,0,0.84,19.67,6.45,2.03,7.46,6.46,3.22,3.23,5.32,0,18.3,19.23,29488,2164,20235,37,687,365,0,
15/08/2020,03:25.2,ERR,ErrD,0,0,0,951,100,0,8,95,0,8607,16783,1040,0,0,0,0.84,19.73,6.38,2.03,7.46,6.46,3.22,3.23,5.32,0,18.14,19.13,27879,4829,20274,37,62895,53313,0,
15/08/2020,03:25.2,ERR,ErrD,0,0,0,966,100,96,8,95,0,6995,10000,1212,0,0,0,0.84,19.73,6.48,2.63,7.86,6.46,3.22,3.23,5.32,0,18.28,19.18,1335,696,20273,37,396,21989,0,
15/08/2020,03:25.2,ERR,ErrD,0,0,0,980,100,79,8,92,0,6995,21044,1393,0,1.93,0,0.84,20.09,6.27,2.63,7.86,6.46,3.22,3.23,5.31,0,18.63,19.2,22452,27445,20836,37,1792,3397,1,
15/08/2020,03:25.2,ERR,ErrD,0,0,0,995,100,30,8,98,0,6695,22736,1557,0,2.06,0,0.84,20.47,6.38,2.63,7.86,6.46,3.22,3.23,5.32,0,18.39,19.11,28473,29626,22225,37,31493,36593,1,
15/08/2020,03:25.3,ERR,ErrD,0,0,0,1009,100,100,7,98,0,6925,10000,1729,0,1.89,0,0.85,20,6.46,2.32,8.18,6.46,3.22,3.23,5.32,0,18.23,19.29,20094,37470,17670,37,49378,21009,0,
15/08/2020,03:26.3,ERR,ErrD,0,0,0,1023,100,0,7,98,0,6923,19650,1712,0,1.89,0,0.85,19.67,6.45,2.32,8.18,6.46,3.22,3.24,5.31,0,18.5,19.21,14763,1795,20049,37,347,53365,1,
15/08/2020,03:26.3,ERR,ErrD,0,0,29,1038,100,98,7,102,0,5281,10000,1540,0,1.85,0,0.85,19.93,6.39,2.26,8.53,6.46,3.22,3.24,5.32,0,18.41,19.36,1209,950,20382,37,356,34637,1,
15/08/2020,03:26.3,ERR,ErrD,0,0,29,1051,100,98,7,102,0,5281,10000,1367,0,1.87,0,0.85,19.87,6.34,2.26,8.53,6.46,3.22,3.24,5.32,0,18.57,19.4,10383,7192,19354,37,1709,40961,1,
15/08/2020,03:26.3,ERR,ErrD,0,0,29,1067,100,0,7,102,0,5219,18812,1195,0,2.08,0,0.85,20.62,6.06,2.26,8.53,6.46,3.22,3.24,5.32,0,18.72,19.17,32777,14459,21236,37,25441,40977,0,
15/08/2020,03:26.3,ERR,ErrD,0,0,29,1083,100,0,7,102,0,10000,17102,1024,0,1.79,0,0.83,20.7,6.31,1.93,8.8,6.38,3.17,3.21,5.31,0,18.38,19.32,18454,8042,20400,37,59400,24702,0,
15/08/2020,03:27.3,ERR,ErrD,0,0,29,1097,100,98,7,102,0,8321,10000,844,0,1.8,0,0.83,20.19,6.3,1.93,8.8,6.38,3.17,3.21,5.32,0,18.35,19.12,36652,5708,20442,37,62462,1384,0,
15/08/2020,03:27.3,ERR,ErrD,0,0,29,1113,100,54,7,102,0,5207,23268,672,0,1.71,0,0.83,20.04,6.36,3.62,9.36,6.38,3.17,3.21,5.32,0,18.57,19.31,18295,3588,19825,37,61568,19551,0,
15/08/2020,03:27.3,ERR,ErrD,0,0,29,1127,100,0,7,102,0,5207,20237,500,0,1.68,0,0.83,19.97,6.45,3.62,9.36,6.38,3.17,3.21,5.32,0,18.2,19.25,13649,38071,20950,37,3051,1922,1,
15/08/2020,03:27.3,ERR,ErrD,0,0,29,1140,100,0,7,21,0,5207,19350,327,0,1.7,0,0.83,19.99,6.32,3.62,9.36,6.38,3.17,3.21,5.32,0,18.25,19.3,58246,64854,19974,37,55733,687,1,
15/08/2020,03:28.3,ERR,ErrD,0,0,29,1155,100,61,7,97,0,8314,23168,180,0,1.67,0,0.84,20.05,6.35,3.26,9.81,6.4,3.18,3.22,5.32,0,18.47,19.26,64902,21764,18172,37,61015,38952,1,
15/08/2020,03:28.3,ERR,ErrD,0,0,29,1170,100,0,7,97,0,8314,19754,353,0,1.66,0,0.84,19.94,6.38,3.26,9.81,6.4,3.18,3.22,5.32,0,18.03,19.32,33719,4555,24411,37,30912,41701,1,
15/08/2020,03:28.3,ERR,ErrD,0,0,0,1184,100,100,7,97,0,8312,10000,524,0,1.63,0,0.83,19.62,6.38,1.25,10.01,6.4,3.18,3.22,5.32,0,18.3,19.33,17154,6744,20894,37,38495,49973,1,
15/08/2020,03:28.3,ERR,ErrD,0,0,0,1198,100,100,7,97,0,8312,10000,696,0,1.6,0,0.83,19.76,6.44,1.25,10.01,6.4,3.18,3.22,5.32,0,18.52,19.29,1710,19457,20391,37,12872,63095,1,
15/08/2020,03:28.3,ERR,ErrD,0,0,0,1212,100,0,7,97,0,8613,16455,869,0,1.59,0,0.83,19.71,6.34,1.25,10.01,6.44,3.21,3.23,5.32,0,18.43,19.36,1129,48783,20068,37,469,53533,0,
15/08/2020,03:29.3,ERR,ErrD,0,0,0,1227,100,53,7,97,0,6905,22690,1040,0,1.58,0,0.83,19.77,6.43,1.11,10.16,6.44,3.21,3.23,5.31,0,18.53,19.34,35599,1233,20373,37,24681,39586,0,
15/08/2020,03:29.3,ERR,ErrD,0,0,0,1241,100,100,7,97,0,8607,10000,1212,0,1.6,0,0.83,19.96,6.31,1.11,10.16,6.44,3.21,3.23,5.32,0,18.42,19.43,1388,20899,20467,37,65253,64924,1,
15/08/2020,03:29.3,ERR,ErrD,0,0,0,1257,100,100,7,95,0,8609,20368,1384,0,1.62,0,0.91,19.89,6.34,2.98,10.61,6.44,3.21,3.23,5.32,0,18.39,19.42,1506,53590,19997,37,9248,14393,0,
15/08/2020,03:29.3,ERR,ErrD,0,0,0,1272,100,0,7,95,0,5204,17854,1564,0,2.03,0,0.91,20.47,6.19,2.98,10.61,6.34,3.16,3.18,5.32,0,18.4,19.17,22017,13709,21601,37,9516,5643,0,
15/08/2020,03:29.3,ERR,ErrD,0,0,0,1287,100,0,7,95,0,5204,16170,1745,0,1.9,0,0.91,20.56,6.4,2.98,10.61,6.34,3.16,3.18,5.31,0,18.78,19.32,28043,24688,19752,37,63130,30152,1,
15/08/2020,03:30.3,ERR,ErrD,0,0,0,1302,100,0,7,95,0,8611,19608,1704,0,1.83,0,0.87,20.1,6.41,1.98,10.89,6.34,3.16,3.18,5.32,0,18.38,19.31,30900,51100,20511,37,599,47035,0,
15/08/2020,03:30.3,ERR,ErrD,0,0,0,1317,100,52,7,95,0,5278,23055,1524,0,1.87,0,0.87,20.03,6.32,1.98,10.89,6.34,3.16,3.18,5.32,0,18.29,19.34,6936,2134,19952,37,486,60990,1,
15/08/2020,03:30.3,ERR,ErrD,0,0,29,1333,100,0,7,95,0,5207,18091,1360,0,1.81,0,0.83,20.09,6.32,4.66,11.63,6.34,3.16,3.18,5.32,0,18.33,19.26,793,2317,20370,37,4048,42304,0,
15/08/2020,03:30.3,ERR,ErrD,0,0,29,1350,100,7,7,95,0,5211,14644,1171,0,2.24,0,0.83,20.33,6.29,4.66,11.63,6.31,3.14,3.17,5.32,0,18.42,19.33,17006,25961,20968,37,20312,19144,0,
15/08/2020,03:30.3,ERR,ErrD,0,0,29,1365,100,0,7,94,0,5211,16344,1008,0,2.13,0,0.83,20.03,6.36,4.66,11.63,6.31,3.14,3.17,5.31,0,17.9,19.3,19315,47320,20303,37,510,21217,1,
15/08/2020,03:31.3,ERR,ErrD,0,0,29,1380,100,100,7,94,0,5211,10000,836,0,2.1,0,0.89,19.85,6.43,2.35,11.96,6.31,3.14,3.17,5.32,0,17.99,19.19,52158,1485,20281,37,607,6908,0,
15/08/2020,03:31.3,ERR,ErrD,0,0,29,1395,100,0,7,94,0,5211,17455,656,0,2.08,0,0.89,19.59,6.45,2.35,11.96,6.31,3.14,3.17,5.31,0,18.47,19.34,53537,28891,20079,37,42293,47276,0,
15/08/2020,03:31.3,ERR,ErrD,0,0,29,1410,100,100,7,91,0,8317,10000,491,0,2.03,0,0.88,19.56,6.47,1.13,12.13,6.31,3.14,3.17,5.32,0,18.37,19.19,46184,49826,20114,37,180,29557,0,
15/08/2020,03:31.3,ERR,ErrD,0,0,29,1423,100,100,7,91,0,8317,10000,311,0,2.01,0,0.88,19.57,6.47,1.13,12.13,6.31,3.14,3.17,5.32,0,18.25,19.43,13390,13561,20362,37,36022,65226,0,
