Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,BatV,BatA,BmAH,CELS,Cel1,Cel2,TeeV,AmbT,CanT,EngT,AccX,AccY,AccZ,AccTmp,GyrX,GyrY,GyrZ,VibS
18/08/2020,18:45:49,ERR,ErrD,1,1273,0,74,100,27,8,451,0,0,9761,1753,0,5.38,5.4,0.83,21.48,6.53,1.2,3.1,6.6,3.29,3.31,5.32,62.36,20.84,22.89,0,0,0,0,0,0,0,
18/08/2020,18:45:49,ERR,ErrD,1,1273,0,89,100,0,8,451,0,0,12373,1482,0,5,4.93,0.83,21.56,6.56,1.2,3.1,6.6,3.29,3.31,5.32,77.62,20.86,23.22,31116,38232,21885,40,29642,32573,0,
18/08/2020,18:45:49,ERR,ErrD,1,1273,0,109,100,0,8,451,0,10000,20508,1319,0,4.99,4.92,0.83,21.57,6.57,1.2,3.1,6.6,3.29,3.31,5.32,74.28,20.86,23.3,31179,35743,22243,40,25818,39429,0,
18/08/2020,18:45:49,ERR,ErrD,1,1273,0,130,100,0,8,84,0,6213,20544,1155,0,5.15,5.08,0.79,21.59,6.56,1.78,3.34,6.61,3.29,3.32,5.32,73.42,20.83,28.91,33081,40576,22738,40,28423,43301,0,
18/08/2020,18:45:49,ERR,ErrD,1,1273,0,152,100,32,8,29,0,6213,20544,992,0,5.01,4.95,0.79,21.56,6.56,1.78,3.34,6.61,3.29,3.32,5.32,76.65,20.84,23.81,31693,35746,25018,40,28465,39619,1,
18/08/2020,18:45:50,ERR,ErrD,1,1273,0,174,100,32,8,29,0,6902,20544,828,0,5.08,5.02,0.79,21.83,6.57,1.18,3.51,6.61,3.29,3.32,5.32,74.5,20.82,23.61,31764,39880,23147,40,32245,43474,0,
18/08/2020,18:45:50,ERR,ErrD,1,1273,0,196,100,32,8,29,0,6902,20544,656,0,4.83,4.74,0.87,21.6,6.57,1.18,3.51,6.61,3.29,3.32,5.32,76.98,20.83,23.82,26969,37684,20625,40,31062,40918,1,
18/08/2020,18:45:50,ERR,ErrD,1,4663,24,218,100,100,8,19,0,6919,11732,500,0,4.91,4.79,0.87,21.56,6.56,1.18,3.51,6.61,3.29,3.32,5.32,76.53,20.82,23.92,30243,37954,25908,40,32285,39530,1,
18/08/2020,18:45:50,ERR,ErrD,1,4663,24,240,100,23,8,19,0,4924,14958,336,0,4.42,4.25,0.82,21.59,6.59,1.21,3.68,6.6,3.29,3.31,5.32,72.8,20.84,24.05,35589,38401,26395,40,29848,42145,1,
18/08/2020,18:45:50,ERR,ErrD,1,4663,24,262,100,0,8,19,0,4924,17225,172,0,4.79,4.68,0.82,21.55,6.58,1.21,3.68,6.6,3.29,3.31,5.32,74.74,20.84,25.99,29785,39797,24846,40,29739,34442,1,
18/08/2020,18:45:51,ERR,ErrD,1,4663,24,284,100,0,8,23,0,4924,17225,336,0,4.42,4.23,0.82,21.54,6.6,1.14,3.84,6.6,3.29,3.31,5.32,78.05,20.76,24.26,30976,34081,23453,40,29801,35540,1,
18/08/2020,18:45:51,ERR,ErrD,1,4663,24,306,100,0,8,23,0,8317,10250,491,0,3.93,3.91,0.87,21.53,6.6,1.14,3.84,6.6,3.29,3.31,5.32,76.21,20.81,24.37,32869,36994,21508,40,29755,38355,1,
18/08/2020,18:45:51,ERR,ErrD,1,4663,24,328,100,100,8,23,0,6919,12309,656,0,3.79,3.83,0.87,21.54,6.57,1.14,3.84,6.6,3.29,3.31,5.32,75.2,20.79,24.56,32217,36773,19975,40,32258,34367,0,
18/08/2020,18:45:51,ERR,ErrD,1,4663,24,350,100,0,8,23,0,6906,17382,820,0,3.89,3.91,0.82,21.53,6.6,2.45,4.18,6.6,3.29,3.31,5.32,78.69,20.86,25.69,33340,34684,22939,40,28419,39632,0,
18/08/2020,18:45:51,ERR,ErrD,1,4663,24,372,100,0,8,19,0,6906,18783,992,0,3.82,3.85,0.82,21.56,6.58,2.45,4.18,6.6,3.29,3.31,5.32,78.74,20.83,24.84,40641,33557,20512,40,32261,37130,1,
18/08/2020,18:45:52,ERR,ErrD,1,4663,24,394,100,0,8,19,0,5205,18783,1155,0,3.68,3.73,0.82,21.51,6.59,1.3,4.36,6.6,3.29,3.31,5.32,75.3,20.87,24.89,31334,33623,23216,40,31045,38250,1,
18/08/2020,18:45:52,ERR,ErrD,1,4663,24,416,100,0,8,21,0,6902,11743,1310,0,3.65,3.69,0.76,21.6,6.59,1.3,4.36,6.61,3.3,3.31,5.32,76.64,20.85,24.73,42044,34077,18735,40,28445,39445,1,
18/08/2020,18:45:52,ERR,ErrD,1,3489,0,438,100,0,8,21,0,6902,18491,1482,0,3.81,3.8,0.76,21.58,6.58,1.3,4.36,6.61,3.3,3.31,5.32,72.25,20.84,25.07,35573,35204,18951,40,32312,38406,1,
18/08/2020,18:45:52,ERR,ErrD,1,3489,0,460,100,0,8,21,0,4914,18491,1646,0,3.46,3.4,0.79,21.66,6.5,1.36,4.55,6.61,3.3,3.31,5.32,78.39,20.85,25.11,37795,35623,20639,40,29771,44675,0,
18/08/2020,18:45:52,ERR,ErrD,1,3489,0,482,100,0,8,21,0,6902,18491,1811,0,3.66,3.7,0.79,21.58,6.54,1.36,4.55,6.6,3.28,3.32,5.32,75.66,20.8,25.23,30418,33820,20767,40,32208,39538,1,
18/08/2020,18:45:53,ERR,ErrD,1,3489,0,504,100,0,8,21,0,7940,12141,1646,0,3.49,3.4,0.79,21.6,6.54,1.99,4.82,6.6,3.28,3.32,5.32,80.54,20.88,25.37,34395,37175,19996,40,28468,39526,0,
