Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,Wav1,Wav2,RecV,BecV,BecA,BecT,BatV,BatA,BmAH,CELS,Cel1,Cel2,TeeV,AmbT,CanT,EngT,AccX,AccY,AccZ,AccTmp,GyrX,GyrY,GyrZ,VibS,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:19,20,0,0,0,24,57,100,11,8,448,0,1589,0,0,0,0,16.2,6.61,0.26,6.05,6.57,3.28,3.3,5.29,59.07,15.58,17.12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:19,20,0,0,0,24,70,100,11,8,448,0,1762,0,0,0,0,16.17,6.61,0.26,6.05,6.57,3.28,3.3,5.29,68.99,15.48,17.15,14416,402,20215,226,1423,65188,65378,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:19,20,0,0,0,24,83,100,11,8,448,0,1597,0,0,0,0,16.19,6.57,0.26,6.05,6.57,3.28,3.3,5.29,68.48,15.47,17.24,374,785,20247,226,113,65281,65407,1,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:19,20,0,0,0,24,95,100,11,8,448,0,1425,0,0,0,0,15.99,6.64,0.26,6.74,6.57,3.28,3.3,5.29,69.1,15.44,17.24,392,723,20262,226,165,65299,65406,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:20,20,0,0,0,24,108,99,42,8,161,0,1260,0,0,0,0,16.2,6.57,0.26,6.74,6.57,3.28,3.3,5.29,73.71,15.51,16.99,346,732,20260,226,120,65304,65418,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:20,20,0,0,0,24,121,99,42,8,161,0,1106,0,0,0,0,16.28,6.62,0.26,6.74,6.58,3.29,3.3,5.3,68.51,15.53,17.03,327,774,20273,226,135,65282,65392,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:20,21,0,0,0,24,134,99,42,8,161,0,942,0,0,0,0,16.09,6.64,0.36,7.74,6.58,3.29,3.3,5.29,70.32,15.47,17.23,351,726,20249,226,138,65269,65409,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:20,21,0,0,0,24,147,99,42,8,161,0,771,0,0,0,0,16.08,6.6,0.36,7.74,6.58,3.29,3.3,5.29,75.45,15.54,17.18,309,747,20236,226,168,65294,65399,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:20,21,0,0,0,0,158,99,0,8,22,0,606,0,0,0,0,16.32,6.6,0.27,8.52,6.58,3.29,3.3,5.29,74.33,15.42,17.17,330,708,20240,226,154,65269,65423,0,,,,,,,,,,,,,,,,,,
09/09/2020,18:25:21,21,0,0,0,0,171,99,0,8,26,0,451,0,0,0,0,16.06,6.63,0.27,8.52,6.58,3.29,3.3,5.29,69.95,15.5,17.11,337,699,20258,226,158,65285,65408,0,,,,,,,,,,,,,,,,,,
