Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,Wav1,Wav2,RecV,BecV,BecA,BecT,BatV,BatA,BmAH,CELS,Cel1,Cel2,TeeV,AmbT,CanT,EngT,AccX,AccY,AccZ,AccTmp,GyrX,GyrY,GyrZ,VibS
2020-08-30,14:41:19.11537,21,0,0,0,0,72,99,18,8,441,0.00,0,0,0.00,0.00,0.00,31.26,6.67,0.36,6.99,6.62,3.30,3.31,5.29,45.26,32.68,36.91,0,0,0,0,0,0,0,0
2020-08-30,14:41:19.11738,21,0,0,0,0,85,99,18,8,441,0.00,172,0,0.00,0.00,0.00,31.13,6.66,0.36,6.99,6.62,3.30,3.32,5.29,71.10,32.53,36.91,2715,1189,20007,49,129,65300,65432,0
2020-08-30,14:41:19.11939,22,0,0,0,0,98,99,18,8,441,0.00,336,0,0.00,0.00,0.00,31.16,6.59,0.36,6.99,6.62,3.30,3.32,5.31,68.94,32.58,36.83,150,1170,20012,49,127,65298,65426,0
2020-08-30,14:41:19.12140,98,0,0,0,0,110,99,0,8,236,0.00,491,0,0.00,0.00,0.00,31.19,6.62,0.29,7.76,6.62,3.30,3.32,5.30,71.34,32.59,36.91,1433,1163,20011,49,132,65300,65432,0
2020-08-30,14:41:20.12340,98,0,0,0,0,123,99,100,8,84,0.00,656,0,0.00,0.00,0.00,31.19,6.62,0.29,7.76,6.62,3.30,3.32,5.31,69.53,32.52,36.87,154,1162,19985,49,134,65294,65431,0
2020-08-30,14:41:20.12540,98,0,0,0,0,135,99,100,8,84,0.00,828,0,0.00,0.00,0.00,31.23,6.57,0.29,7.76,6.62,3.30,3.32,5.29,67.58,32.58,36.87,157,1154,20012,49,130,65290,65426,0
2020-08-30,14:41:20.12740,98,0,0,0,0,146,99,0,8,22,0.00,992,0,0.00,0.00,0.00,31.18,6.66,0.39,8.84,6.61,3.30,3.31,5.29,66.90,32.60,36.89,147,1176,20027,49,130,65295,65434,0
2020-08-30,14:41:20.12940,0,0,0,0,0,160,99,0,8,22,0.00,1155,0,0.00,0.00,0.00,31.19,6.67,0.39,8.84,6.61,3.30,3.31,5.30,66.52,32.62,36.89,155,1170,19998,49,133,65298,65429,0
2020-08-30,14:41:20.13140,20,0,0,0,0,172,100,0,8,23,0.00,1310,0,0.00,0.00,0.00,31.08,6.67,0.30,9.72,6.61,3.30,3.31,5.30,67.09,32.56,36.91,152,1174,20012,49,135,65296,65432,0
2020-08-30,14:41:21.13341,98,0,0,0,0,185,100,0,8,23,0.00,1482,0,0.00,0.00,0.00,31.14,6.60,0.30,9.72,6.61,3.30,3.31,5.30,68.54,32.59,36.88,146,1182,20027,49,132,65298,65430,0
