Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,CELS,BatA,BmAH,BatV,Cel1,Cel2,TeeV,AmbT,CanT,EngT
1970-01-01,00:00:04.4538,ERR,ErrD,0,0,0,72,100,100,8,362,0.00,0,10000,1614,0,0.00,0.00,0.73,16.43,6.59,1.04,0.47,6.57,3.29,3.30,5.24,0.00,18.61,17.03
1970-01-01,00:00:04.4738,ERR,ErrD,0,0,0,94,100,0,8,362,0.00,0,18987,1778,0,0.00,0.00,0.73,16.44,6.59,1.43,0.67,6.56,3.28,3.31,5.24,0.00,18.59,17.03
1970-01-01,00:00:04.4938,ERR,ErrD,0,0,0,115,100,53,8,18,0.00,4746,9086,1680,0,0.00,0.00,0.73,16.34,6.59,1.43,0.67,6.53,3.28,3.31,5.25,0.00,18.51,17.16
1970-01-01,00:00:05.5138,ERR,ErrD,0,0,0,137,100,0,8,18,0.00,8902,23516,1515,0,0.00,0.00,0.73,16.33,6.59,1.17,0.83,6.57,3.28,3.31,5.25,0.00,18.42,17.00
1970-01-01,00:00:05.5338,ERR,ErrD,0,0,0,159,100,0,8,18,0.00,7852,23516,1351,0,0.00,0.00,0.73,16.36,6.59,1.17,0.83,6.55,3.29,3.30,5.24,0.00,18.78,17.08
1970-01-01,00:00:05.5538,ERR,ErrD,0,0,0,181,100,0,8,18,0.00,8887,23516,1187,0,0.00,0.00,0.73,16.35,6.59,1.17,0.83,6.57,3.29,3.30,5.25,0.00,18.40,17.06
1970-01-01,00:00:05.5738,ERR,ErrD,0,0,0,203,100,0,8,18,0.00,8952,9517,1024,0,0.00,0.00,0.73,16.21,6.59,1.04,0.98,6.56,3.29,3.30,5.25,0.00,18.23,17.05
1970-01-01,00:00:05.5938,ERR,ErrD,0,0,0,225,100,0,8,18,0.00,7672,19262,860,0,0.00,0.00,0.73,16.31,6.59,1.04,0.98,6.54,3.29,3.30,5.25,0.00,18.41,17.12
1970-01-01,00:00:06.6138,ERR,ErrD,0,0,0,247,100,0,8,20,0.00,6798,19262,696,0,0.00,0.00,0.75,16.54,6.57,1.02,1.12,6.47,3.28,3.30,5.25,0.00,18.29,17.22
1970-01-01,00:00:06.6338,ERR,ErrD,0,0,0,269,100,0,8,20,0.00,4991,19262,533,0,0.00,0.00,0.75,16.31,6.57,1.02,1.12,6.60,3.28,3.30,5.25,0.00,18.43,17.16
1970-01-01,00:00:06.6538,ERR,ErrD,0,0,0,291,100,0,8,20,0.00,8897,19262,369,0,0.00,0.00,0.75,16.39,6.57,1.02,1.12,6.58,3.28,3.30,5.25,0.00,18.25,16.97
1970-01-01,00:00:06.6738,ERR,ErrD,0,0,0,312,100,0,8,20,0.00,8880,11533,205,0,0.00,0.00,0.73,16.63,6.56,1.16,1.28,6.47,3.27,3.29,5.25,0.00,17.85,17.26
1970-01-01,00:00:06.6938,ERR,ErrD,0,0,0,334,100,0,8,27,0.00,8761,17991,295,0,0.00,0.00,0.73,16.42,6.56,1.16,1.28,6.54,3.27,3.29,5.25,0.00,18.69,17.09
1970-01-01,00:00:07.7138,ERR,ErrD,0,0,0,356,100,0,8,27,0.00,8883,17991,459,0,0.00,0.00,0.74,16.36,6.56,1.04,1.43,6.53,3.27,3.29,5.25,0.00,18.52,17.08
1970-01-01,00:00:07.7338,ERR,ErrD,0,0,0,378,100,0,8,27,0.00,8765,17991,622,0,0.00,0.00,0.74,16.17,6.56,1.04,1.43,6.54,3.27,3.29,5.25,0.00,18.55,17.02
1970-01-01,00:00:07.7538,ERR,ErrD,0,0,0,400,100,0,8,27,0.00,9187,12456,787,0,0.00,0.00,0.74,16.33,6.59,1.04,1.43,6.56,3.29,3.30,5.25,0.00,18.35,17.04
1970-01-01,00:00:07.7738,ERR,ErrD,0,0,0,422,100,0,8,35,0.00,7119,20265,950,0,0.00,0.00,0.74,16.21,6.59,1.02,1.57,6.56,3.29,3.30,5.25,0.00,18.74,17.08
1970-01-01,00:00:07.7938,ERR,ErrD,0,0,0,444,100,0,8,35,0.00,8879,20265,1113,0,0.00,0.00,0.74,16.35,6.59,1.02,1.57,6.55,3.29,3.30,5.24,0.00,18.86,17.08
1970-01-01,00:00:08.8138,ERR,ErrD,0,0,0,466,100,0,8,35,0.00,6055,20265,1277,0,0.00,0.00,0.75,16.16,6.59,1.21,1.74,6.57,3.29,3.30,5.25,0.00,18.44,17.12
