Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,Wav1,Wav2,RecV,BecV,BecA,BecT,BatV,BatA,BmAH,CELS,Cel1,Cel2,TeeV,AmbT,CanT,EngT,AccX,AccY,AccZ,AccTmp,GyrX,GyrY,GyrZ,VibS
2022-06-07,06:36:10.12433,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.15,6.45,0.23,4.41,6.52,3.26,3.26,5.30,73.81,14.52,15.00,0,0,0,0,0,0,0,0
2022-06-07,06:36:10.12634,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.19,6.44,0.23,4.41,6.52,3.25,3.27,5.29,0.00,18.77,15.06,65296,1310,20306,224,212,65347,65406,0
2022-06-07,06:36:10.12833,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.15,6.50,0.24,4.98,6.52,3.25,3.27,5.30,0.00,18.47,14.87,65295,1306,20317,224,215,65344,65405,0
2022-06-07,06:36:10.13033,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.04,6.48,0.24,4.98,6.52,3.25,3.27,5.30,0.00,18.35,15.13,65301,1308,20325,224,215,65344,65406,0
2022-06-07,06:36:10.13234,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.16,6.46,0.24,4.98,6.52,3.25,3.27,5.29,0.00,18.20,14.83,65302,1313,20316,224,217,65344,65408,0
2022-06-07,06:36:11.13434,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.20,6.46,0.22,5.54,7.29,3.26,4.03,5.31,0.00,18.74,15.33,65293,1300,20301,224,219,65345,65404,0
2022-06-07,06:36:11.13634,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.21,6.47,0.22,5.54,7.29,3.26,4.03,5.29,0.00,18.13,14.75,65298,1304,20304,224,218,65346,65404,0
2022-06-07,06:36:11.13835,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.18,6.46,0.23,6.16,7.29,3.26,4.03,5.30,0.00,18.40,14.97,65300,1313,20295,224,211,65343,65404,0
2022-06-07,06:36:11.14037,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.20,6.48,0.23,6.16,7.29,3.26,4.03,5.29,0.00,18.97,15.28,65302,1303,20307,224,217,65341,65404,0
2022-06-07,06:36:12.14244,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.11,6.46,0.23,6.16,7.29,3.26,4.03,5.30,0.00,17.93,15.01,65296,1308,20309,224,218,65345,65405,0
2022-06-07,06:36:12.14544,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.11,6.46,0.25,6.87,7.29,3.26,4.03,5.30,0.00,17.93,15.01,65296,1308,20309,224,218,65345,65405,0
2022-06-07,06:36:12.14842,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0.00,14.11,6.47,0.25,6.87,6.51,3.24,3.27,5.30,0.00,17.93,15.01,65296,1308,20309,224,218,65345,65405,0
