Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,CELS,BatA,BmAH,BatV,Cel1,Cel2,TeeV,AmbT,CanT,EngT
1970-01-01,00:00:03.3756,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.45,6.59,1.13,0.47,6.54,3.29,3.30,5.25,71.20,18.93,20.40
1970-01-01,00:00:03.3958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.45,6.59,1.13,0.47,6.54,3.29,3.30,5.25,71.20,18.93,20.40
1970-01-01,00:00:04.4158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.50,6.59,1.16,0.63,6.53,3.29,3.30,5.25,71.16,18.90,20.44
1970-01-01,00:00:04.4358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.48,6.59,1.16,0.63,6.52,3.29,3.30,5.25,73.27,18.89,20.44
1970-01-01,00:00:04.4558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.43,6.59,1.16,0.63,6.55,3.29,3.30,5.26,74.78,18.93,20.36
1970-01-01,00:00:04.4758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.44,6.59,1.12,0.79,6.53,3.29,3.30,5.26,76.65,18.91,20.41
1970-01-01,00:00:04.4958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.45,6.59,1.12,0.79,6.54,3.29,3.30,5.25,71.10,18.93,20.42
1970-01-01,00:00:05.5158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.46,6.59,1.15,0.95,6.54,3.29,3.30,5.25,69.88,18.92,20.43
1970-01-01,00:00:05.5358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.45,6.59,1.15,0.95,6.56,3.29,3.30,5.25,75.09,18.92,20.42
1970-01-01,00:00:05.5558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.46,6.59,1.15,0.95,6.56,3.29,3.30,5.26,76.48,18.98,20.37
1970-01-01,00:00:05.5758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.43,6.59,1.13,1.10,6.53,3.30,3.30,5.25,75.20,18.88,20.41
1970-01-01,00:00:05.5958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.47,6.59,1.13,1.10,6.54,3.30,3.30,5.25,72.59,18.87,20.42
1970-01-01,00:00:06.6158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.46,6.59,1.14,1.26,6.54,3.30,3.30,5.26,72.13,18.91,20.46
1970-01-01,00:00:06.6358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.48,6.59,1.14,1.26,6.53,3.30,3.30,5.25,75.93,18.90,20.37
1970-01-01,00:00:06.6558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.46,6.59,1.14,1.26,6.55,3.29,3.30,5.25,75.38,18.99,20.38
1970-01-01,00:00:06.6758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.45,6.59,1.12,1.42,6.55,3.29,3.30,5.25,70.43,18.91,20.36
1970-01-01,00:00:06.6958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.47,6.59,1.12,1.42,6.55,3.29,3.30,5.25,71.31,18.91,20.42
1970-01-01,00:00:07.7158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.49,6.59,1.16,1.58,6.54,3.29,3.30,5.26,71.03,18.90,20.41
1970-01-01,00:00:07.7358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.48,6.59,1.16,1.58,6.54,3.28,3.31,5.26,72.62,18.93,20.41
1970-01-01,00:00:07.7558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.47,6.59,1.16,1.58,6.54,3.28,3.31,5.25,74.65,18.90,20.38
1970-01-01,00:00:07.7758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.46,6.59,1.12,1.73,6.53,3.28,3.31,5.25,73.66,18.98,20.41
1970-01-01,00:00:07.7958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.46,6.59,1.12,1.73,6.53,3.29,3.30,5.25,76.16,18.92,20.40
1970-01-01,00:00:08.8158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.47,6.59,1.14,1.89,6.54,3.29,3.30,5.26,69.66,18.92,20.44
1970-01-01,00:00:08.8358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.44,6.59,1.14,1.89,6.53,3.29,3.30,5.25,75.54,18.93,20.47
1970-01-01,00:00:08.8558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.49,6.59,1.14,1.89,6.51,3.29,3.30,5.25,74.80,18.92,20.40
1970-01-01,00:00:08.8758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.45,6.58,1.13,2.05,6.53,3.29,3.30,5.26,75.39,18.93,20.44
1970-01-01,00:00:08.8958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.46,6.58,1.13,2.05,6.54,3.29,3.30,5.26,71.99,19.00,20.40
1970-01-01,00:00:09.9158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.48,6.58,1.13,2.21,6.55,3.29,3.30,5.26,72.19,18.85,20.40
1970-01-01,00:00:09.9358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.47,6.58,1.13,2.21,6.53,3.29,3.30,5.25,72.89,18.91,20.45
1970-01-01,00:00:09.9558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.47,6.58,1.13,2.21,6.53,3.29,3.30,5.25,73.64,18.92,20.37
1970-01-01,00:00:09.9758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.48,6.58,1.14,2.36,6.57,3.29,3.30,5.26,73.24,18.92,20.41
1970-01-01,00:00:09.9958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.49,6.58,1.14,2.36,6.52,3.29,3.30,5.25,70.76,18.93,20.38
1970-01-01,00:00:10.10158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.48,6.58,1.15,2.52,6.54,3.29,3.30,5.26,73.38,18.89,20.40
1970-01-01,00:00:10.10358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.47,6.58,1.15,2.52,6.54,3.29,3.30,5.25,75.75,18.91,20.36
1970-01-01,00:00:10.10558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.46,6.58,1.15,2.52,6.55,3.29,3.30,5.25,75.44,18.93,20.38
1970-01-01,00:00:10.10758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.44,6.58,1.14,2.68,6.51,3.29,3.30,5.25,73.57,18.91,20.44
1970-01-01,00:00:10.10958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.45,6.58,1.14,2.68,6.58,3.29,3.30,5.25,73.88,18.89,20.40
1970-01-01,00:00:11.11158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.46,6.58,1.14,2.84,6.51,3.29,3.30,5.25,70.89,18.89,20.42
1970-01-01,00:00:11.11358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.49,6.58,1.14,2.84,6.51,3.29,3.30,5.25,72.21,18.91,20.43
1970-01-01,00:00:11.11558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.46,6.59,1.14,2.84,6.52,3.29,3.30,5.26,75.37,18.95,20.41
1970-01-01,00:00:11.11758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.49,6.59,1.14,3.00,6.55,3.29,3.30,5.25,71.50,18.92,20.40
1970-01-01,00:00:11.11958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.46,6.59,1.14,3.00,6.50,3.29,3.30,5.26,73.33,18.94,20.41
1970-01-01,00:00:12.12158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.46,6.59,1.14,3.16,6.52,3.29,3.30,5.25,73.66,18.93,20.37
1970-01-01,00:00:12.12358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.48,6.58,1.14,3.16,6.54,3.29,3.30,5.26,77.83,18.95,20.40
1970-01-01,00:00:12.12558,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.83,19.42,6.58,1.14,3.16,6.54,3.29,3.30,5.26,74.98,18.91,20.39
1970-01-01,00:00:12.12758,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.45,6.58,1.13,3.31,6.52,3.29,3.30,5.25,75.69,18.90,20.38
1970-01-01,00:00:12.12958,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.47,6.59,1.13,3.31,6.54,3.29,3.30,5.25,71.58,18.90,20.41
1970-01-01,00:00:13.13158,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.48,6.59,1.15,3.47,6.56,3.29,3.30,5.25,72.05,19.01,20.45
1970-01-01,00:00:13.13358,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.84,19.47,6.59,1.15,3.47,6.53,3.29,3.30,5.26,68.96,18.90,20.38
