Date,Time,510A(V),ERR,ErrD,A2(V),TFC,BFP(%),E2EQ(%),MAIN(rpm),CLUT(rpm),Cels(V),AmbT(@C),CanT(@C),RSSI(dB),RxBt(V),EngT(@C),5103,5100,5103,5104,Cel1(V),Cel2(V),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-03,17:07:05.810,0.00,0,0,11.3,3,100,93,2,1,6.55,0,18,75,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:06.330,0.00,0,0,11.3,3,98,93,2,1,6.55,0,18,86,6.6,20,0,0,0,0,3.26,3.29,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:06.830,0.00,0,0,11.3,3,98,100,2,1,6.55,0,18,84,6.6,20,0,0,0,0,3.26,3.29,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-03,17:07:07.330,0.00,0,0,11.3,3,100,0,2,1,6.55,0,18,80,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.7
2022-06-03,17:07:07.830,0.00,0,0,11.3,3,100,91,2,1,6.55,0,18,86,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:07:08.330,0.00,0,0,11.3,3,100,0,2,1,6.54,0,18,79,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:07:08.830,0.00,0,0,11.2,3,100,100,2,1,6.54,0,18,84,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:09.330,0.00,0,0,11.2,3,100,24,2,1,6.54,0,18,78,6.6,20,0,0,0,0,3.26,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:09.830,0.00,0,0,11.2,3,100,43,2,1,6.56,0,18,82,6.6,20,0,0,0,0,3.27,3.29,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:10.330,0.00,0,0,11.2,3,100,93,2,1,6.56,0,18,74,6.6,20,0,0,0,0,3.27,3.29,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:10.830,0.00,0,0,11.3,4,100,0,2,1,6.56,0,18,79,6.6,20,0,0,0,0,3.27,3.29,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-03,17:07:11.330,0.00,0,0,11.3,4,100,0,2,1,6.55,0,18,76,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-03,17:07:11.830,0.00,0,0,11.3,4,100,0,2,1,6.55,0,18,82,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
