Date,Time,5100,5101,5102,5103,RSSI(dB),TRSS(dB),TQly,5104,RxBt(V),5105,5106,Cels(V),5107,5108,A2(V),5109,5119,511B,511C,511D,511E,511F,511G,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,07:46:31.610,0,0,6,100,78,97,95,0,6.6,0,0,6.54,71,16,11.1,17,525,0,0,85,113,19,16,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-04,07:46:32.140,0,0,6,100,88,107,95,6,6.6,0,0,6.53,68,16,11.1,17,526,0,0,85,113,19,16,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-04,07:46:32.640,0,0,6,98,87,103,95,5,6.6,0,0,6.53,68,16,11.1,17,525,0,0,86,127,19,16,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-04,07:46:33.140,0,0,6,100,76,116,98,5,6.6,0,0,6.53,65,16,11.1,16,525,0,0,85,113,19,16,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-04,07:46:33.640,0,0,6,100,82,99,98,91,6.6,0,0,6.54,65,16,11.1,17,525,0,0,85,122,19,16,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-04,07:46:34.140,0,0,6,98,79,104,97,90,6.6,0,0,6.54,67,16,11.1,17,525,0,0,85,114,19,16,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-04,07:46:34.640,0,0,6,98,85,108,97,90,6.6,0,0,6.54,65,16,11.1,17,525,0,0,85,114,20,16,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.7
2022-06-04,07:46:35.140,0,0,6,98,79,114,97,76,6.6,0,0,6.52,64,16,11.1,17,525,0,0,84,119,20,16,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.7
2022-06-04,07:46:35.640,0,0,6,98,86,102,95,0,6.6,0,0,6.53,65,16,11.1,17,525,0,0,87,117,20,16,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.7
2022-06-04,07:46:36.140,0,0,6,96,77,109,95,0,6.6,0,0,6.53,68,16,11.1,17,525,0,0,85,112,20,16,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.7
