Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),Cel1(V),Cel2(V),AmbT,CanT,A2(V),EngT,BatA(A),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-07,19:49:32.010,0,0,0,0,81,110,100,0,6.6,0,0,6.58,3.28,3.30,0,0,11.1,0,0.0,-1,-1,-1024,0,-319,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000000,8.0
2022-06-07,19:49:32.500,0,0,0,0,81,112,100,0,6.5,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,-1,-1,-1024,0,-318,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000000,8.0
2022-06-07,19:49:33.040,0,0,0,0,80,113,100,0,6.5,0,0,6.57,3.29,3.28,0,0,11.1,0,0.0,-1,-1,-1024,0,-318,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:49:33.540,0,0,0,16,82,112,100,0,6.5,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,-1,-1,-1024,0,-319,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:49:34.040,0,0,0,16,87,117,99,0,6.6,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,-1,-1,-1024,0,-319,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:49:34.540,0,0,0,16,87,117,98,0,6.6,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,0,-1,-1024,0,-319,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:49:35.040,0,0,0,16,85,119,98,0,6.6,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,-1,-1,-1024,0,-319,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:49:35.540,0,0,0,16,85,119,99,0,6.6,0,0,6.57,3.27,3.30,0,0,11.1,0,0.0,-1,-1,-1024,0,-318,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:49:36.040,0,0,0,16,85,116,99,0,6.6,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,-1,-1,-1024,0,-318,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:49:36.540,0,0,0,16,87,117,98,0,6.6,0,0,6.57,3.28,3.29,0,0,11.1,0,0.0,-1,-1,-1024,0,-318,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
